RecordID,Game(s) of Origin
1,Black
2,Black 2
3,Diamond
4,Emerald
5,Fire Red
6,Gold
7,Leaf Green
8,Lets Go Pikachu
9,Omega Ruby
10,Platinum
11,Red
12,Ruby
13,Sun
14,Sword
15,Ultra Sun
16,X
